canonical_name,cpu_name_normal,manufacturer,benchmark_score,cores,tdp,socket,category
Intel Xeon W-2275,Xeon W 2275,Intel,27904,14,165.0,FCLGA2066,Desktop
Intel Xeon Gold 6238,Xeon Gold 6238,Intel,27617,22,140.0,FCLGA3647,Server
Intel Xeon Gold 6212U,Xeon Gold 6212U,Intel,27470,24,165.0,FCLGA3647,Server
AMD EPYC 7571,EPYC 7571,AMD,27445,32,120.0,SP3,Server
Intel Core i5-12600K,i5 12600K,Intel,27429,6,150.0,FCLGA1700,Desktop
Intel Core i7-12700H,i7 12700H,Intel,27391,6,45.0,FCBGA1744,Laptop
Intel Xeon Platinum 8173M,Xeon Platinum 8173M,Intel,27377,28,165.0,FCLGA3647,Server
Intel Xeon W-2195,Xeon W 2195,Intel,27325,18,140.0,FCLGA2066,Server
Intel Xeon Gold 6226R,Xeon Gold 6226R,Intel,27211,16,150.0,FCLGA3647,Server
Intel Core i5-12600KF,i5 12600KF,Intel,27186,6,150.0,FCLGA1700,Desktop
AMD Ryzen 7 5700X,Ryzen 7 5700X,AMD,27065,8,65.0,AM4,Desktop
Intel Xeon Gold 6208U,Xeon Gold 6208U,Intel,26901,16,150.0,FCLGA3647,Server
Intel Core i9-7960X,i9 7960X,Intel,26699,16,165.0,FCLGA2066,Desktop
Intel Core i9-10920X,i9 10920X,Intel,26696,12,165.0,FCLGA2066,Desktop
Intel Xeon Platinum 8175M,Xeon Platinum 8175M,Intel,26659,24,,FCLGA3647,Server
Intel Xeon Gold 6230,Xeon Gold 6230,Intel,26657,20,125.0,FCLGA3647,Server
Intel Core i9-7940X,i9 7940X,Intel,26508,14,165.0,FCLGA2066,Desktop
Intel Xeon Platinum 8160,Xeon Platinum 8160,Intel,26485,24,150.0,FCLGA3647,Server
AMD Ryzen Threadripper 2990X,Ryzen Threadripper 2990X,AMD,26469,32,250.0,TR4,Desktop
AMD EPYC 7272,EPYC 7272,AMD,26446,12,120.0,SP3,Server
